블로그주소,게시글제목,주차,문단,문단순번
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,예전처럼 모르는 것을 전부 혼자 해결하기엔 시간적으로 체력적으로 부족하다는 걸 알았고 그것을 해결하기위해 주변 사람들과 교류를 많이 가져야한다는 것을 알게되었다.,11
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,처음부터 모든 걸 완벽하게 하려고 하다보니 오히려 놓치는 게 많았고 부담도 훨씬 크게 다가와서 욕심을 버리고 기본적인 것부터 해결해 나가면서 천천히 하는게 훨씬 도움이 될 수 있다고 생각했다.,12
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,​,13
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,상태,14
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,갑자기 스케줄이랑 수업 내용들이 늘어나면서 스스로 심리적으로 쳬력적으로 많이 벅차다고 느껴진다.,15
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,그렇다보니 현재 수업 내용에서 배운 것들을 100% 활용하지 못한다고 생각하고 실제로 문제를 풀다보면 그때 당시에는 이해했지만 응용하지 못할 때 종종 생긴다.,16
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,그래도 지금 조금씩 어려움에 부딪힐 때 마다 스터디 그룹을 통해서든 옆에 앉아 있는 사람들과 질문을 하면서 교류하다보니 해결해 나가고 있다.,17
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,​,18
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,1주차와 달라진 점,19
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,1주차에는 복습을 하지않아 수업을 못따라가거나 이해하지 않은 상태로 넘어갈 때가 많았지만 2주차 때 그것을 보완하기 위해서 완벽하게는 아니더라도 복습을 진행했고 주변 사람들과 얘기를 조금씩하면서 분위기에 적응하려고 노력하고 있다. 그리고 2주가 길진 않은 시간이지만 매일같이 코딩을 접하다보니 점점 눈에 익히는 것도 많아지고 코딩에 대한 두려움도 줄어드는 것 같다.,20
https://blog.naver.com/PostList.naver?blogId=im2416&from=postList&categoryNo=1,"게시판, im2416님의블로그 : 네이버 블로그",,​,21
